id,institute,program,program_specifics,seat_type,opening_rank,closing_rank,year,round
1,Indian Institute of Technology Bombay,Chemical Engineering,"4 Years, Bachelor of Technology",OPEN,422,1427,2016,1
2,Indian Institute of Technology Bombay,Chemical Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),51,75,2016,1
3,Indian Institute of Technology Bombay,Chemical Engineering,"4 Years, Bachelor of Technology",OBC-NCL,447,974,2016,1
4,Indian Institute of Technology Bombay,Chemical Engineering,"4 Years, Bachelor of Technology",OBC-NCL (PwD),40,40,2016,1
5,Indian Institute of Technology Bombay,Chemical Engineering,"4 Years, Bachelor of Technology",SC,257,507,2016,1
6,Indian Institute of Technology Bombay,Chemical Engineering,"4 Years, Bachelor of Technology",SC (PwD),3,3,2016,1
7,Indian Institute of Technology Bombay,Chemical Engineering,"4 Years, Bachelor of Technology",ST,133,312,2016,1
8,Indian Institute of Technology Bombay,Civil Engineering,"4 Years, Bachelor of Technology",OPEN,897,2155,2016,1
9,Indian Institute of Technology Bombay,Civil Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),19,50,2016,1
10,Indian Institute of Technology Bombay,Civil Engineering,"4 Years, Bachelor of Technology",OBC-NCL,356,995,2016,1
11,Indian Institute of Technology Bombay,Civil Engineering,"4 Years, Bachelor of Technology",OBC-NCL (PwD),21,21,2016,1
12,Indian Institute of Technology Bombay,Civil Engineering,"4 Years, Bachelor of Technology",SC,76,412,2016,1
13,Indian Institute of Technology Bombay,Civil Engineering,"4 Years, Bachelor of Technology",ST,57,81,2016,1
14,Indian Institute of Technology Bombay,Computer Science and Engineering,"4 Years, Bachelor of Technology",OPEN,1,60,2016,1
15,Indian Institute of Technology Bombay,Computer Science and Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),2,3,2016,1
16,Indian Institute of Technology Bombay,Computer Science and Engineering,"4 Years, Bachelor of Technology",OBC-NCL,8,44,2016,1
17,Indian Institute of Technology Bombay,Computer Science and Engineering,"4 Years, Bachelor of Technology",OBC-NCL (PwD),1,1,2016,1
18,Indian Institute of Technology Bombay,Computer Science and Engineering,"4 Years, Bachelor of Technology",SC,2,26,2016,1
19,Indian Institute of Technology Bombay,Computer Science and Engineering,"4 Years, Bachelor of Technology",ST,1,13,2016,1
20,Indian Institute of Technology Bombay,Mechanical Engineering,"4 Years, Bachelor of Technology",OPEN,26,747,2016,1
21,Indian Institute of Technology Bombay,Mechanical Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),13,13,2016,1
22,Indian Institute of Technology Bombay,Mechanical Engineering,"4 Years, Bachelor of Technology",OBC-NCL,104,360,2016,1
23,Indian Institute of Technology Bombay,Mechanical Engineering,"4 Years, Bachelor of Technology",OBC-NCL (PwD),7,7,2016,1
24,Indian Institute of Technology Bombay,Mechanical Engineering,"4 Years, Bachelor of Technology",SC,33,164,2016,1
25,Indian Institute of Technology Bombay,Mechanical Engineering,"4 Years, Bachelor of Technology",ST,29,117,2016,1
26,Indian Institute of Technology Delhi,Chemical Engineering,"4 Years, Bachelor of Technology",OPEN,980,1587,2016,1
27,Indian Institute of Technology Delhi,Chemical Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),44,44,2016,1
28,Indian Institute of Technology Delhi,Chemical Engineering,"4 Years, Bachelor of Technology",OBC-NCL,650.1,1064,2016,1
29,Indian Institute of Technology Delhi,Chemical Engineering,"4 Years, Bachelor of Technology",SC,394,574,2016,1
30,Indian Institute of Technology Delhi,Chemical Engineering,"4 Years, Bachelor of Technology",ST,325,392,2016,1
31,Indian Institute of Technology Delhi,Civil Engineering,"4 Years, Bachelor of Technology",OPEN,767,2494,2016,1
32,Indian Institute of Technology Delhi,Civil Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),48,48,2016,1
33,Indian Institute of Technology Delhi,Civil Engineering,"4 Years, Bachelor of Technology",OBC-NCL,395,990,2016,1
34,Indian Institute of Technology Delhi,Civil Engineering,"4 Years, Bachelor of Technology",OBC-NCL (PwD),24,25,2016,1
35,Indian Institute of Technology Delhi,Civil Engineering,"4 Years, Bachelor of Technology",SC,153,400,2016,1
36,Indian Institute of Technology Delhi,Civil Engineering,"4 Years, Bachelor of Technology",ST,14,47,2016,1
37,Indian Institute of Technology Delhi,Computer Science and Engineering,"4 Years, Bachelor of Technology",OPEN,24,111,2016,1
38,Indian Institute of Technology Delhi,Computer Science and Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),5,5,2016,1
39,Indian Institute of Technology Delhi,Computer Science and Engineering,"4 Years, Bachelor of Technology",OBC-NCL,33,62,2016,1
40,Indian Institute of Technology Delhi,Computer Science and Engineering,"4 Years, Bachelor of Technology",SC,23,43,2016,1
41,Indian Institute of Technology Delhi,Computer Science and Engineering,"4 Years, Bachelor of Technology",ST,12,17,2016,1
42,Indian Institute of Technology Delhi,Computer Science and Engineering,"4 Years, Bachelor of Technology",ST (PwD),1,1,2016,1
43,Indian Institute of Technology Delhi,Mechanical Engineering,"4 Years, Bachelor of Technology",OPEN,247,901,2016,1
44,Indian Institute of Technology Delhi,Mechanical Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),26,26,2016,1
45,Indian Institute of Technology Delhi,Mechanical Engineering,"4 Years, Bachelor of Technology",OBC-NCL,255,422,2016,1
46,Indian Institute of Technology Delhi,Mechanical Engineering,"4 Years, Bachelor of Technology",SC,20,178,2016,1
47,Indian Institute of Technology Delhi,Mechanical Engineering,"4 Years, Bachelor of Technology",ST,51,107,2016,1
48,Indian Institute of Technology Kharagpur,Chemical Engineering,"4 Years, Bachelor of Technology",OPEN,1906,2773,2016,1
49,Indian Institute of Technology Kharagpur,Chemical Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),118,118,2016,1
50,Indian Institute of Technology Kharagpur,Chemical Engineering,"4 Years, Bachelor of Technology",OBC-NCL,1094,1469.1,2016,1
51,Indian Institute of Technology Kharagpur,Chemical Engineering,"4 Years, Bachelor of Technology",SC,340,754,2016,1
52,Indian Institute of Technology Kharagpur,Chemical Engineering,"4 Years, Bachelor of Technology",ST,266,379,2016,1
53,Indian Institute of Technology Kharagpur,Civil Engineering,"4 Years, Bachelor of Technology",OPEN,2545,3395,2016,1
54,Indian Institute of Technology Kharagpur,Civil Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),66,66,2016,1
55,Indian Institute of Technology Kharagpur,Civil Engineering,"4 Years, Bachelor of Technology",OBC-NCL,714,1298,2016,1
56,Indian Institute of Technology Kharagpur,Civil Engineering,"4 Years, Bachelor of Technology",SC,335,592,2016,1
57,Indian Institute of Technology Kharagpur,Civil Engineering,"4 Years, Bachelor of Technology",ST,86,198,2016,1
58,Indian Institute of Technology Kharagpur,Computer Science and Engineering,"4 Years, Bachelor of Technology",OPEN,181,272,2016,1
59,Indian Institute of Technology Kharagpur,Computer Science and Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),10,10,2016,1
60,Indian Institute of Technology Kharagpur,Computer Science and Engineering,"4 Years, Bachelor of Technology",OBC-NCL,48,148,2016,1
61,Indian Institute of Technology Kharagpur,Computer Science and Engineering,"4 Years, Bachelor of Technology",SC,30,86,2016,1
62,Indian Institute of Technology Kharagpur,Computer Science and Engineering,"4 Years, Bachelor of Technology",ST,24,30,2016,1
63,Indian Institute of Technology Kharagpur,Computer Science and Engineering,"4 Years, Bachelor of Technology",ST (PwD),2,2,2016,1
64,Indian Institute of Technology Kharagpur,Mechanical Engineering,"4 Years, Bachelor of Technology",OPEN,622,1426,2016,1
65,Indian Institute of Technology Kharagpur,Mechanical Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),20,20,2016,1
66,Indian Institute of Technology Kharagpur,Mechanical Engineering,"4 Years, Bachelor of Technology",OBC-NCL,347,614,2016,1
67,Indian Institute of Technology Kharagpur,Mechanical Engineering,"4 Years, Bachelor of Technology",SC,88,275,2016,1
68,Indian Institute of Technology Kharagpur,Mechanical Engineering,"4 Years, Bachelor of Technology",ST,54,184,2016,1
69,Indian Institute of Technology Kanpur,Chemical Engineering,"4 Years, Bachelor of Technology",OPEN,1604,2407,2016,1
70,Indian Institute of Technology Kanpur,Chemical Engineering,"4 Years, Bachelor of Technology",OBC-NCL,1017,1358,2016,1
71,Indian Institute of Technology Kanpur,Chemical Engineering,"4 Years, Bachelor of Technology",OBC-NCL (PwD),29,29,2016,1
72,Indian Institute of Technology Kanpur,Chemical Engineering,"4 Years, Bachelor of Technology",SC,578,776,2016,1
73,Indian Institute of Technology Kanpur,Chemical Engineering,"4 Years, Bachelor of Technology",ST,326,460,2016,1
74,Indian Institute of Technology Kanpur,Civil Engineering,"4 Years, Bachelor of Technology",OPEN,1571,2959,2016,1
75,Indian Institute of Technology Kanpur,Civil Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),54,54,2016,1
76,Indian Institute of Technology Kanpur,Civil Engineering,"4 Years, Bachelor of Technology",OBC-NCL,716,1220,2016,1
77,Indian Institute of Technology Kanpur,Civil Engineering,"4 Years, Bachelor of Technology",SC,429,607,2016,1
78,Indian Institute of Technology Kanpur,Civil Engineering,"4 Years, Bachelor of Technology",ST,108,176,2016,1
79,Indian Institute of Technology Kanpur,Computer Science and Engineering,"4 Years, Bachelor of Technology",OPEN,113,225,2016,1
80,Indian Institute of Technology Kanpur,Computer Science and Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),8,8,2016,1
81,Indian Institute of Technology Kanpur,Computer Science and Engineering,"4 Years, Bachelor of Technology",OBC-NCL,65,123,2016,1
82,Indian Institute of Technology Kanpur,Computer Science and Engineering,"4 Years, Bachelor of Technology",OBC-NCL (PwD),6,6,2016,1
83,Indian Institute of Technology Kanpur,Computer Science and Engineering,"4 Years, Bachelor of Technology",SC,29,83,2016,1
84,Indian Institute of Technology Kanpur,Computer Science and Engineering,"4 Years, Bachelor of Technology",SC (PwD),5,5,2016,1
85,Indian Institute of Technology Kanpur,Computer Science and Engineering,"4 Years, Bachelor of Technology",ST,21,41,2016,1
86,Indian Institute of Technology Kanpur,Mechanical Engineering,"4 Years, Bachelor of Technology",OPEN,841,1326,2016,1
87,Indian Institute of Technology Kanpur,Mechanical Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),23,23,2016,1
88,Indian Institute of Technology Kanpur,Mechanical Engineering,"4 Years, Bachelor of Technology",OBC-NCL,292,592,2016,1
89,Indian Institute of Technology Kanpur,Mechanical Engineering,"4 Years, Bachelor of Technology",OBC-NCL (PwD),4,4,2016,1
90,Indian Institute of Technology Kanpur,Mechanical Engineering,"4 Years, Bachelor of Technology",SC,95,301,2016,1
91,Indian Institute of Technology Kanpur,Mechanical Engineering,"4 Years, Bachelor of Technology",ST,50,181,2016,1
92,Indian Institute of Technology Madras,Chemical Engineering,"4 Years, Bachelor of Technology",OPEN,1548,2775,2016,1
93,Indian Institute of Technology Madras,Chemical Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),81,81,2016,1
94,Indian Institute of Technology Madras,Chemical Engineering,"4 Years, Bachelor of Technology",OBC-NCL,633,1425,2016,1
95,Indian Institute of Technology Madras,Chemical Engineering,"4 Years, Bachelor of Technology",OBC-NCL (PwD),18,18,2016,1
96,Indian Institute of Technology Madras,Chemical Engineering,"4 Years, Bachelor of Technology",SC,467,891,2016,1
97,Indian Institute of Technology Madras,Chemical Engineering,"4 Years, Bachelor of Technology",ST,372,442,2016,1
98,Indian Institute of Technology Madras,Civil Engineering,"4 Years, Bachelor of Technology",OPEN,1005,3116,2016,1
99,Indian Institute of Technology Madras,Civil Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),45,45,2016,1
100,Indian Institute of Technology Madras,Civil Engineering,"4 Years, Bachelor of Technology",OBC-NCL,844,1342,2016,1
101,Indian Institute of Technology Madras,Civil Engineering,"4 Years, Bachelor of Technology",SC,175,619,2016,1
102,Indian Institute of Technology Madras,Civil Engineering,"4 Years, Bachelor of Technology",ST,63,178,2016,1
103,Indian Institute of Technology Madras,Computer Science and Engineering,"4 Years, Bachelor of Technology",OPEN,62,171,2016,1
104,Indian Institute of Technology Madras,Computer Science and Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),1,1,2016,1
105,Indian Institute of Technology Madras,Computer Science and Engineering,"4 Years, Bachelor of Technology",OBC-NCL,38,93,2016,1
106,Indian Institute of Technology Madras,Computer Science and Engineering,"4 Years, Bachelor of Technology",SC,14,58,2016,1
107,Indian Institute of Technology Madras,Computer Science and Engineering,"4 Years, Bachelor of Technology",ST,7,22,2016,1
108,Indian Institute of Technology Madras,Mechanical Engineering,"4 Years, Bachelor of Technology",OPEN,535,1195,2016,1
109,Indian Institute of Technology Madras,Mechanical Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),30,30,2016,1
110,Indian Institute of Technology Madras,Mechanical Engineering,"4 Years, Bachelor of Technology",OBC-NCL,240,508,2016,1
111,Indian Institute of Technology Madras,Mechanical Engineering,"4 Years, Bachelor of Technology",SC,46,248,2016,1
112,Indian Institute of Technology Madras,Mechanical Engineering,"4 Years, Bachelor of Technology",ST,76,158,2016,1
113,Indian Institute of Technology Roorkee,Chemical Engineering,"4 Years, Bachelor of Technology",OPEN,2383,3617,2016,1
114,Indian Institute of Technology Roorkee,Chemical Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),128,128,2016,1
115,Indian Institute of Technology Roorkee,Chemical Engineering,"4 Years, Bachelor of Technology",OBC-NCL,1398,1710,2016,1
116,Indian Institute of Technology Roorkee,Chemical Engineering,"4 Years, Bachelor of Technology",OBC-NCL (PwD),57,57,2016,1
117,Indian Institute of Technology Roorkee,Chemical Engineering,"4 Years, Bachelor of Technology",SC,784,979,2016,1
118,Indian Institute of Technology Roorkee,Chemical Engineering,"4 Years, Bachelor of Technology",ST,445,595,2016,1
119,Indian Institute of Technology Roorkee,Civil Engineering,"4 Years, Bachelor of Technology",OPEN,1877,3616,2016,1
120,Indian Institute of Technology Roorkee,Civil Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),79,101,2016,1
121,Indian Institute of Technology Roorkee,Civil Engineering,"4 Years, Bachelor of Technology",OBC-NCL,1014,1395,2016,1
122,Indian Institute of Technology Roorkee,Civil Engineering,"4 Years, Bachelor of Technology",OBC-NCL (PwD),34,34,2016,1
123,Indian Institute of Technology Roorkee,Civil Engineering,"4 Years, Bachelor of Technology",SC,497,682,2016,1
124,Indian Institute of Technology Roorkee,Civil Engineering,"4 Years, Bachelor of Technology",ST,101,194,2016,1
125,Indian Institute of Technology Roorkee,Computer Science and Engineering,"4 Years, Bachelor of Technology",OPEN,294,462,2016,1
126,Indian Institute of Technology Roorkee,Computer Science and Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),17,17,2016,1
127,Indian Institute of Technology Roorkee,Computer Science and Engineering,"4 Years, Bachelor of Technology",OBC-NCL,127,221,2016,1
128,Indian Institute of Technology Roorkee,Computer Science and Engineering,"4 Years, Bachelor of Technology",SC,90,127,2016,1
129,Indian Institute of Technology Roorkee,Computer Science and Engineering,"4 Years, Bachelor of Technology",SC (PwD),1,1,2016,1
130,Indian Institute of Technology Roorkee,Computer Science and Engineering,"4 Years, Bachelor of Technology",ST,67,131,2016,1
131,Indian Institute of Technology Roorkee,Electronics and Communication Engineering,"4 Years, Bachelor of Technology",OPEN,907,1300,2016,1
132,Indian Institute of Technology Roorkee,Electronics and Communication Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),53,53,2016,1
133,Indian Institute of Technology Roorkee,Electronics and Communication Engineering,"4 Years, Bachelor of Technology",OBC-NCL,329,640,2016,1
134,Indian Institute of Technology Roorkee,Electronics and Communication Engineering,"4 Years, Bachelor of Technology",SC,193,421,2016,1
135,Indian Institute of Technology Roorkee,Electronics and Communication Engineering,"4 Years, Bachelor of Technology",ST,111,249,2016,1
136,Indian Institute of Technology Roorkee,Mechanical Engineering,"4 Years, Bachelor of Technology",OPEN,1376,2217,2016,1
137,Indian Institute of Technology Roorkee,Mechanical Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),49,62,2016,1
138,Indian Institute of Technology Roorkee,Mechanical Engineering,"4 Years, Bachelor of Technology",OBC-NCL,624,860,2016,1
139,Indian Institute of Technology Roorkee,Mechanical Engineering,"4 Years, Bachelor of Technology",SC,237,424,2016,1
140,Indian Institute of Technology Roorkee,Mechanical Engineering,"4 Years, Bachelor of Technology",SC (PwD),3,3,2016,1
141,Indian Institute of Technology Roorkee,Mechanical Engineering,"4 Years, Bachelor of Technology",ST,197,256,2016,1
142,Indian Institute of Technology Guwahati,Chemical Engineering,"4 Years, Bachelor of Technology",OPEN,3034,4130,2016,1
143,Indian Institute of Technology Guwahati,Chemical Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),95,95,2016,1
144,Indian Institute of Technology Guwahati,Chemical Engineering,"4 Years, Bachelor of Technology",OBC-NCL,1633,1932,2016,1
145,Indian Institute of Technology Guwahati,Chemical Engineering,"4 Years, Bachelor of Technology",OBC-NCL (PwD),32,32,2016,1
146,Indian Institute of Technology Guwahati,Chemical Engineering,"4 Years, Bachelor of Technology",SC,897,1117,2016,1
147,Indian Institute of Technology Guwahati,Chemical Engineering,"4 Years, Bachelor of Technology",ST,343,543,2016,1
148,Indian Institute of Technology Guwahati,Civil Engineering,"4 Years, Bachelor of Technology",OPEN,3641,4659,2016,1
149,Indian Institute of Technology Guwahati,Civil Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),117,117,2016,1
150,Indian Institute of Technology Guwahati,Civil Engineering,"4 Years, Bachelor of Technology",OBC-NCL,1397,1723,2016,1
151,Indian Institute of Technology Guwahati,Civil Engineering,"4 Years, Bachelor of Technology",SC,704,952,2016,1
152,Indian Institute of Technology Guwahati,Civil Engineering,"4 Years, Bachelor of Technology",ST,224,303,2016,1
153,Indian Institute of Technology Guwahati,Computer Science and Engineering,"4 Years, Bachelor of Technology",OPEN,406,661,2016,1
154,Indian Institute of Technology Guwahati,Computer Science and Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),29,29,2016,1
155,Indian Institute of Technology Guwahati,Computer Science and Engineering,"4 Years, Bachelor of Technology",OBC-NCL,236,375,2016,1
156,Indian Institute of Technology Guwahati,Computer Science and Engineering,"4 Years, Bachelor of Technology",SC,91,186,2016,1
157,Indian Institute of Technology Guwahati,Computer Science and Engineering,"4 Years, Bachelor of Technology",ST,59,148,2016,1
158,Indian Institute of Technology Guwahati,Electronics and Communication Engineering,"4 Years, Bachelor of Technology",OPEN,1202,1754,2016,1
159,Indian Institute of Technology Guwahati,Electronics and Communication Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),52,52,2016,1
160,Indian Institute of Technology Guwahati,Electronics and Communication Engineering,"4 Years, Bachelor of Technology",OBC-NCL,605,845,2016,1
161,Indian Institute of Technology Guwahati,Electronics and Communication Engineering,"4 Years, Bachelor of Technology",OBC-NCL (PwD),20,20,2016,1
162,Indian Institute of Technology Guwahati,Electronics and Communication Engineering,"4 Years, Bachelor of Technology",SC,439,632,2016,1
163,Indian Institute of Technology Guwahati,Electronics and Communication Engineering,"4 Years, Bachelor of Technology",ST,203,282,2016,1
164,Indian Institute of Technology Guwahati,Mechanical Engineering,"4 Years, Bachelor of Technology",OPEN,2160,2729,2016,1
165,Indian Institute of Technology Guwahati,Mechanical Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),73,73,2016,1
166,Indian Institute of Technology Guwahati,Mechanical Engineering,"4 Years, Bachelor of Technology",OBC-NCL,803,993,2016,1
167,Indian Institute of Technology Guwahati,Mechanical Engineering,"4 Years, Bachelor of Technology",OBC-NCL (PwD),32,32,2016,1
168,Indian Institute of Technology Guwahati,Mechanical Engineering,"4 Years, Bachelor of Technology",SC,314,520,2016,1
169,Indian Institute of Technology Guwahati,Mechanical Engineering,"4 Years, Bachelor of Technology",ST,260,297,2016,1
170,Indian Institute of Technology Bombay,Chemical Engineering,"4 Years, Bachelor of Technology",OPEN,422,1450,2016,2
171,Indian Institute of Technology Bombay,Chemical Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),51,75,2016,2
172,Indian Institute of Technology Bombay,Chemical Engineering,"4 Years, Bachelor of Technology",OBC-NCL,447,974,2016,2
173,Indian Institute of Technology Bombay,Chemical Engineering,"4 Years, Bachelor of Technology",OBC-NCL (PwD),40,40,2016,2
174,Indian Institute of Technology Bombay,Chemical Engineering,"4 Years, Bachelor of Technology",SC,257,564,2016,2
175,Indian Institute of Technology Bombay,Chemical Engineering,"4 Years, Bachelor of Technology",SC (PwD),3,3,2016,2
176,Indian Institute of Technology Bombay,Chemical Engineering,"4 Years, Bachelor of Technology",ST,161,335,2016,2
177,Indian Institute of Technology Bombay,Civil Engineering,"4 Years, Bachelor of Technology",OPEN,897,2210,2016,2
178,Indian Institute of Technology Bombay,Civil Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),19,50,2016,2
179,Indian Institute of Technology Bombay,Civil Engineering,"4 Years, Bachelor of Technology",OBC-NCL,356,1007,2016,2
180,Indian Institute of Technology Bombay,Civil Engineering,"4 Years, Bachelor of Technology",OBC-NCL (PwD),21,21,2016,2
181,Indian Institute of Technology Bombay,Civil Engineering,"4 Years, Bachelor of Technology",SC,217,441,2016,2
182,Indian Institute of Technology Bombay,Civil Engineering,"4 Years, Bachelor of Technology",ST,57,108,2016,2
183,Indian Institute of Technology Bombay,Computer Science and Engineering,"4 Years, Bachelor of Technology",OPEN,1,60,2016,2
184,Indian Institute of Technology Bombay,Computer Science and Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),2,3,2016,2
185,Indian Institute of Technology Bombay,Computer Science and Engineering,"4 Years, Bachelor of Technology",OBC-NCL,8,44,2016,2
186,Indian Institute of Technology Bombay,Computer Science and Engineering,"4 Years, Bachelor of Technology",OBC-NCL (PwD),1,1,2016,2
187,Indian Institute of Technology Bombay,Computer Science and Engineering,"4 Years, Bachelor of Technology",SC,2,26,2016,2
188,Indian Institute of Technology Bombay,Computer Science and Engineering,"4 Years, Bachelor of Technology",ST,1,15,2016,2
189,Indian Institute of Technology Bombay,Mechanical Engineering,"4 Years, Bachelor of Technology",OPEN,26,777,2016,2
190,Indian Institute of Technology Bombay,Mechanical Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),13,13,2016,2
191,Indian Institute of Technology Bombay,Mechanical Engineering,"4 Years, Bachelor of Technology",OBC-NCL,104,371,2016,2
192,Indian Institute of Technology Bombay,Mechanical Engineering,"4 Years, Bachelor of Technology",OBC-NCL (PwD),8,8,2016,2
193,Indian Institute of Technology Bombay,Mechanical Engineering,"4 Years, Bachelor of Technology",SC,33,164,2016,2
194,Indian Institute of Technology Bombay,Mechanical Engineering,"4 Years, Bachelor of Technology",ST,29,117,2016,2
195,Indian Institute of Technology Delhi,Chemical Engineering,"4 Years, Bachelor of Technology",OPEN,980,1653,2016,2
196,Indian Institute of Technology Delhi,Chemical Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),188,188,2016,2
197,Indian Institute of Technology Delhi,Chemical Engineering,"4 Years, Bachelor of Technology",OBC-NCL,650.1,1072,2016,2
198,Indian Institute of Technology Delhi,Chemical Engineering,"4 Years, Bachelor of Technology",SC,394,708,2016,2
199,Indian Institute of Technology Delhi,Chemical Engineering,"4 Years, Bachelor of Technology",ST,356,451,2016,2
200,Indian Institute of Technology Delhi,Civil Engineering,"4 Years, Bachelor of Technology",OPEN,767,2549,2016,2
201,Indian Institute of Technology Delhi,Civil Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),70,70,2016,2
202,Indian Institute of Technology Delhi,Civil Engineering,"4 Years, Bachelor of Technology",OBC-NCL,520,1018,2016,2
203,Indian Institute of Technology Delhi,Civil Engineering,"4 Years, Bachelor of Technology",OBC-NCL (PwD),25,34,2016,2
204,Indian Institute of Technology Delhi,Civil Engineering,"4 Years, Bachelor of Technology",SC,153,400,2016,2
205,Indian Institute of Technology Delhi,Civil Engineering,"4 Years, Bachelor of Technology",ST,14,47,2016,2
206,Indian Institute of Technology Delhi,Computer Science and Engineering,"4 Years, Bachelor of Technology",OPEN,24,115,2016,2
207,Indian Institute of Technology Delhi,Computer Science and Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),5,5,2016,2
208,Indian Institute of Technology Delhi,Computer Science and Engineering,"4 Years, Bachelor of Technology",OBC-NCL,33,62,2016,2
209,Indian Institute of Technology Delhi,Computer Science and Engineering,"4 Years, Bachelor of Technology",SC,23,43,2016,2
210,Indian Institute of Technology Delhi,Computer Science and Engineering,"4 Years, Bachelor of Technology",ST,12,19,2016,2
211,Indian Institute of Technology Delhi,Mechanical Engineering,"4 Years, Bachelor of Technology",OPEN,247,907,2016,2
212,Indian Institute of Technology Delhi,Mechanical Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),26,26,2016,2
213,Indian Institute of Technology Delhi,Mechanical Engineering,"4 Years, Bachelor of Technology",OBC-NCL,255,434,2016,2
214,Indian Institute of Technology Delhi,Mechanical Engineering,"4 Years, Bachelor of Technology",SC,20,178,2016,2
215,Indian Institute of Technology Delhi,Mechanical Engineering,"4 Years, Bachelor of Technology",ST,51,107,2016,2
216,Indian Institute of Technology Kharagpur,Chemical Engineering,"4 Years, Bachelor of Technology",OPEN,1906,2817,2016,2
217,Indian Institute of Technology Kharagpur,Chemical Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),118,118,2016,2
218,Indian Institute of Technology Kharagpur,Chemical Engineering,"4 Years, Bachelor of Technology",OBC-NCL,1094,1475,2016,2
219,Indian Institute of Technology Kharagpur,Chemical Engineering,"4 Years, Bachelor of Technology",SC,534,767,2016,2
220,Indian Institute of Technology Kharagpur,Chemical Engineering,"4 Years, Bachelor of Technology",ST,266,460,2016,2
221,Indian Institute of Technology Kharagpur,Civil Engineering,"4 Years, Bachelor of Technology",OPEN,2545,3454,2016,2
222,Indian Institute of Technology Kharagpur,Civil Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),123,123,2016,2
223,Indian Institute of Technology Kharagpur,Civil Engineering,"4 Years, Bachelor of Technology",OBC-NCL,714,1349,2016,2
224,Indian Institute of Technology Kharagpur,Civil Engineering,"4 Years, Bachelor of Technology",SC,455,671,2016,2
225,Indian Institute of Technology Kharagpur,Civil Engineering,"4 Years, Bachelor of Technology",ST,118,240,2016,2
226,Indian Institute of Technology Kharagpur,Computer Science and Engineering,"4 Years, Bachelor of Technology",OPEN,181,286,2016,2
227,Indian Institute of Technology Kharagpur,Computer Science and Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),10,10,2016,2
228,Indian Institute of Technology Kharagpur,Computer Science and Engineering,"4 Years, Bachelor of Technology",OBC-NCL,48,149,2016,2
229,Indian Institute of Technology Kharagpur,Computer Science and Engineering,"4 Years, Bachelor of Technology",SC,30,86,2016,2
230,Indian Institute of Technology Kharagpur,Computer Science and Engineering,"4 Years, Bachelor of Technology",ST,24,30,2016,2
231,Indian Institute of Technology Kharagpur,Computer Science and Engineering,"4 Years, Bachelor of Technology",ST (PwD),2,2,2016,2
232,Indian Institute of Technology Kharagpur,Mechanical Engineering,"4 Years, Bachelor of Technology",OPEN,622,1475,2016,2
233,Indian Institute of Technology Kharagpur,Mechanical Engineering,"4 Years, Bachelor of Technology",OPEN (PwD),20,20,2016,2
234,Indian Institute of Technology Kharagpur,Mechanical Engineering,"4 Years, Bachelor of Technology",OBC-NCL,347,624,2016,2
235,Indian Institute of Technology Kharagpur,Mechanical Engineering,"4 Years, Bachelor of Technology",SC,88,277,2016,2
236,Indian Institute of Technology Kharagpur,Mechanical Engineering,"4 Years, Bachelor of Technology",ST,54,198,2016,2
237,Indian Institute of Technology Kanpur,Chemical Engineering,"4 Years, Bachelor of Technology",OPEN,1671,2508,2016,2
